area_code,area_name,age_category,value
E12000005,West Midlands,"[65, 70)",293700
E12000006,East of England,"[65, 70)",319200
E12000007,London,"[65, 70)",306400
E12000008,South East,"[65, 70)",462300
E12000009,South West,"[65, 70)",323800
W92000004,Wales,"[65, 70)",177600
E12000001,North East,"[70, 75)",148400
E12000002,North West,"[70, 75)",379500
E12000003,Yorkshire and The Humber,"[70, 75)",284400
E12000004,East Midlands,"[70, 75)",260900
E12000005,West Midlands,"[70, 75)",293900
E12000006,East of England,"[70, 75)",336000
E12000007,London,"[70, 75)",269100
E12000008,South East,"[70, 75)",481500
E12000009,South West,"[70, 75)",342900
W92000004,Wales,"[70, 75)",181300
E12000001,North East,"[75, 80)",101300
E12000002,North West,"[75, 80)",269800
E12000003,Yorkshire and The Humber,"[75, 80)",201100
E12000004,East Midlands,"[75, 80)",190800
E12000005,West Midlands,"[75, 80)",225500
E12000006,East of England,"[75, 80)",246600
E12000007,London,"[75, 80)",189700
E12000008,South East,"[75, 80)",357700
E12000009,South West,"[75, 80)",256300
W92000004,Wales,"[75, 80)",131500
E12000001,North East,"[80, 85)",73300
E12000002,North West,"[80, 85)",190500
E12000003,Yorkshire and The Humber,"[80, 85)",142700
E12000004,East Midlands,"[80, 85)",127600
E12000005,West Midlands,"[80, 85)",157400
E12000006,East of England,"[80, 85)",171200
E12000007,London,"[80, 85)",141000
E12000008,South East,"[80, 85)",249700
E12000009,South West,"[80, 85)",174500
W92000004,Wales,"[80, 85)",89100
E12000001,North East,"[85, 90)",43400
E12000002,North West,"[85, 90)",110900
E12000003,Yorkshire and The Humber,"[85, 90)",85900
E12000004,East Midlands,"[85, 90)",76100
E12000005,West Midlands,"[85, 90)",94200
E12000006,East of England,"[85, 90)",107500
E12000007,London,"[85, 90)",86800
E12000008,South East,"[85, 90)",157800
E12000009,South West,"[85, 90)",109400
W92000004,Wales,"[85, 90)",52800
E12000001,North East,"[90, Inf)",22500
E12000002,North West,"[90, Inf)",59600
E12000003,Yorkshire and The Humber,"[90, Inf)",46100
E12000004,East Midlands,"[90, Inf)",42600
E12000005,West Midlands,"[90, Inf)",52500
E12000006,East of England,"[90, Inf)",62500
E12000007,London,"[90, Inf)",50400
E12000008,South East,"[90, Inf)",95300
E12000009,South West,"[90, Inf)",66700
W92000004,Wales,"[90, Inf)",29700
